SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,4000 S Manowar Ct,Bloomington,IN,47401,500000,4,2.5,Bridlewood,2664,19602,2010,26,188,,Active,,,https://www.redfin.com/IN/Bloomington/4000-S-Manowar-Ct-47401/home/136622419,IRMLS,202334061,N,Y,39.1211277,-86.5221738
MLS Listing,,Single Family Residential,122 and 124 N Clark St,Bloomington,IN,47408,419000,2,1.0,Green Acres,768,5227,1969,26,546,,Active,,,https://www.redfin.com/IN/Bloomington/124-N-Clark-St-47408/home/136269159,IRMLS,202334046,N,Y,39.1677076,-86.5047942
MLS Listing,,Vacant Land,0 Greene Countyline Rd,Solsberry,IN,47459,200000,,,,,792356,,26,,,Active,,,https://www.redfin.com/IN/Solsberry/Greene-County-Line-Rd-47459/home/126204569,IRMLS,202334044,N,Y,39.094205,-86.686847
MLS Listing,,Single Family Residential,3875 Will Sowders Rd,Bloomington,IN,47401,369000,3,1.0,Lake Monroe,912,90605,1966,27,405,,Active,,,https://www.redfin.com/IN/Bloomington/3875-E-Will-Sowders-Rd-47401/home/136467086,IRMLS,202333889,N,Y,39.0557359,-86.4838792
MLS Listing,,Single Family Residential,605 S Bobcat Bnd,Bloomington,IN,47403,499900,4,2.5,Stonechase,2988,9148,2015,29,167,32,Active,,,https://www.redfin.com/IN/Bloomington/605-S-Bobcat-Bnd-47403/home/136870143,IRMLS,202333786,N,Y,39.1578972,-86.5946158
MLS Listing,,Single Family Residential,7546 W Upland Dr,Bloomington,IN,47404,309900,3,2.0,Prominence Place,1623,11761,2023,29,191,,Active,,,https://www.redfin.com/IN/Bloomington/7546-W-Upland-Dr-47404/home/187526930,IRMLS,202333797,N,Y,39.2236221,-86.6399229
MLS Listing,,Single Family Residential,1011 E Keri Marie Ln,Bloomington,IN,47401,399900,3,2.0,Walnut Creek,1584,6970,2023,29,252,,Active,,,https://www.redfin.com/IN/Bloomington/1011-E-Keri-Marie-Ln-47401/home/136537311,IRMLS,202333803,N,Y,39.1447211,-86.5204377
MLS Listing,,Condo/Co-op,4209 S Red Pine Dr,Bloomington,IN,47401,564900,3,2.0,Derby Pines,1737,,2022,30,325,100,Active,,,https://www.redfin.com/IN/Bloomington/4209-E-Pine-Ln-47401/home/187522132,IRMLS,202333735,N,Y,39.1481887,-86.4962792
MLS Listing,,Condo/Co-op,4232 S Red Pine Dr,Bloomington,IN,47401,474900,3,2.0,Derby Pines,1737,,2023,30,273,100,Active,,,https://www.redfin.com/IN/Bloomington/4232-S-Red-Pine-DR-Unknown/home/187522131,IRMLS,202333736,N,Y,39.165325,-86.5263857
MLS Listing,,Condo/Co-op,4224 S Red Pine Dr,Bloomington,IN,47401,469900,3,2.0,Derby Pines,1737,,2023,30,271,100,Active,,,https://www.redfin.com/IN/Bloomington/4224-S-Red-Pine-DR-Unknown/home/187521579,IRMLS,202333727,N,Y,39.165325,-86.5263857
MLS Listing,,Condo/Co-op,4220 S Red Pine Dr,Bloomington,IN,47401,439900,3,2.0,Derby Pines,1737,,2023,30,253,100,Active,,,https://www.redfin.com/IN/Bloomington/4220-S-Red-Pine-DR-Unknown/home/187521578,IRMLS,202333725,N,Y,39.165325,-86.5263857
